,Sl.No,Lane,VehicleType,Entry,Exit,TravelTime,Speed(kmph),Time Interval,CumulativeEntryFlow,CumulativeExitFlow,EntryFlow/Interval,ExitFlow/Interval,Travel Time in one minute,Travel Time in one minute(interval wise),Avg Travel Time in one minute,SMS,Exit Flow Per Hour,Small Car,Big Car,Two Wheeler,LCV,Bus,Single Axle,Multi Axle,Small Car interval wise,Big Car interval wise,Two Wheeler interval wise,LCV interval wise,Bus interval wise,Single Axle interval wise,Multi Axle interval wise,Cumulative Speed of Small Car,Cumulative Speed of Big Car,Cumulative Speed of Two Wheeler,Cumulative Speed of LCV,Cumulative Speed of Bus,Cumulative Speed of Single Axle,Cumulative Speed of Multi Axle,Cumulative Speed of Small Car interval wise,Cumulative Speed of Big Car interval wise,Cumulative Speed of Two Wheeler interval wise,Cumulative Speed of LCV interval wise,Cumulative Speed of Bus interval wise,Cumulative Speed of Single Axle interval wise,Cumulative Speed of Multi Axle interval wise,Avg Speed of Small Car,Avg Speed of Big Car,Avg Speed of Two Wheeler,Avg Speed of LCV,Avg Speed of Bus,Avg Speed of Single Axle,Avg Speed of Multi Axle,Small Car PCU,Big Car PCU,Two Wheeler PCU,LCV PCU,Bus PCU,Single Axle PCU,Multi Axle PCU,Final PCU per 5min
10,11,1,3,59.83,66.4,6.570000000000007,33.972602739725986,3300,469,469,47.0,47.0,2488.989999999999,279.7800000000002,5.952765957446813,37.4951747801844,2820.0,89,142,180,10,9,23,16,7.0,12.0,19.0,1.0,1.0,4.0,3.0,4450.619812724682,7220.863925584054,8788.286375628235,396.16817435132054,203.36708105985298,672.8537799384794,389.6268727796561,363.9146891989967,514.8480944839966,901.6803141946493,51.90697674418931,38.416523235800696,129.542779570672,51.12582804863138,51.987812742713814,42.90400787366639,47.45685864182365,51.90697674418931,38.416523235800696,32.385694892668,17.041942682877124,1.0,1.8334106375647206,0.2452556466533886,2.3936472620990523,6.195741029849857,5.280023415509368,10.033904616557505,93.47198074084992
11,12,1,1,63.23,67.9,4.670000000000009,47.79443254817978,3600,515,515,46.0,46.0,2692.2600000000007,203.2700000000018,4.4189130434783,50.51015890195262,2760.0,95,158,199,11,10,26,16,6.0,16.0,19.0,1.0,1.0,3.0,0.0,4774.214790549364,8128.849981336727,9819.564426538685,440.27884628807993,220.9557335421224,815.0762505178524,389.6268727796561,323.59497782468225,907.9860557526727,1031.2780509104505,44.11067193675939,17.588652482269424,142.22247057937295,0.0,53.932496304113705,56.74912848454204,54.2777921531816,44.11067193675939,17.588652482269424,47.40749019312432,0.0,1.0,1.437961937704076,0.22245634894275015,2.9220738586451023,14.038726811636135,3.74189055723382,0.0,61.42053397516017
12,13,1,6,64.37,71.03,6.659999999999997,33.51351351351353,3900,570,568,55.0,53.0,2976.500000000001,284.24000000000024,5.3630188679245325,41.618350689558085,3180.0,101,179,215,13,15,29,16,6.0,21.0,16.0,2.0,5.0,3.0,0.0,4985.541098641596,9104.070672727503,10459.827519167367,508.8997580819341,350.83880798478896,904.6672281825417,389.6268727796561,211.32630809223247,975.2206913907758,640.263092628682,68.62091179385419,129.88307444266655,89.59097766468938,0.0,35.22105134870541,46.43908054241789,40.016443289292624,34.310455896927095,25.976614888533312,29.863659221563125,0.0,1.0,1.1475583240983533,0.1970517456145688,2.4533537105893433,6.207682958781531,3.879241497982479,0.0,80.8343994449323
13,14,1,2,65.0,72.37,7.3700000000000045,30.28493894165534,4200,611,611,41.0,43.0,3315.2200000000016,338.7200000000007,7.877209302325598,28.334907888521432,2580.0,112,191,228,16,18,29,17,11.0,12.0,13.0,3.0,3.0,0.0,1.0,5336.153140818299,9583.575324065143,10958.80320203962,608.6823385529451,405.4672681983987,904.6672281825417,417.0133758471389,350.61204217670274,479.5046513376401,498.97568287225295,99.78258047101099,54.62846021360974,0.0,27.386503067482806,31.873822016063887,39.95872094480334,38.38274483632715,33.26086015700366,18.209486737869913,0.0,27.386503067482806,1.0,1.2069204039756392,0.18591505981484918,2.2902611542629763,8.013942225759529,0.0,3.8281159553939323,62.640666720762155
14,15,1,6,80.17,94.17,14.0,15.942857142857141,4500,663,660,52.0,49.0,3604.610000000002,289.3900000000003,5.9059183673469455,37.79259822385012,2940.0,125,207,245,18,19,29,17,13.0,16.0,17.0,2.0,1.0,0.0,0.0,5910.756756676386,10276.123502041837,11644.856144967329,666.1768209623036,420.8497630295494,904.6672281825417,417.0133758471389,574.6036158580873,692.5481779766942,686.0529429277085,57.49448240935851,15.382494831150723,0.0,0.0,44.2002781429298,43.28426112354339,40.356055466335796,28.747241204679256,15.382494831150723,0.0,0.0,1.0,1.5450803113386646,0.24520693473423277,3.6746262182608356,13.155519211615976,0.0,0.0,62.39457452003824
15,16,1,3,86.63,91.2,4.570000000000007,48.84026258205681,4800,718,717,55.0,57.0,3987.673000000003,383.063000000001,6.720403508771947,33.21229145075344,3420.0,136,223,265,21,23,32,17,11.0,16.0,20.0,3.0,4.0,3.0,0.0,6302.139713913927,10848.56366744342,12475.795751692887,784.3555015060402,490.8428705016804,1002.5172841837986,417.0133758471389,391.3829572375407,572.4401654015837,830.9396067255584,118.17868054373662,69.99310747213099,97.8500560012568,0.0,35.58026883977643,35.77751033759898,41.54698033627792,39.39289351457887,17.498276868032747,32.616685333752265,0.0,1.0,1.504718199834058,0.1917282980694794,2.1586174483895726,9.309443275355958,3.588037092119355,0.0,93.38779388168514
16,17,1,3,87.03,92.97,5.939999999999998,37.575757575757585,5100,753,750,35.0,33.0,4188.293000000004,200.62000000000126,6.079393939393977,36.71418602332745,1980.0,141,237,277,22,24,32,17,5.0,14.0,12.0,1.0,1.0,0.0,0.0,6483.953037845357,11447.487624233032,12933.213508963308,810.8638150452324,520.7624415472567,1002.5172841837986,417.0133758471389,181.8133239314302,598.9239567896111,457.41775727042113,26.50831353919216,29.919571045576276,0.0,0.0,36.36266478628604,42.780282627829365,38.11814643920176,26.50831353919216,29.919571045576276,0.0,0.0,1.0,1.286080393756453,0.21357006732717201,3.278369824584909,5.564294507103057,0.0,0.0,34.410630652204375
17,18,1,2,121.7,127.33,5.6299999999999955,39.644760213143904,5400,801,801,48.0,51.0,4523.2230000000045,334.9300000000003,6.56725490196079,33.98680321261156,3060.0,147,253,301,23,28,32,17,6.0,16.0,24.0,1.0,4.0,0.0,0.0,6747.105112394166,12059.075612446377,13935.887055071513,850.7209579023792,586.4023944430469,1002.5172841837986,417.0133758471389,263.15207454880874,611.5879882133449,1002.6735461082044,39.857142857146755,65.6399528957902,0.0,0.0,43.858679091468126,38.22424926333406,41.77806442117518,39.857142857146755,16.40998822394755,0.0,0.0,1.0,1.7360916479175739,0.23503021011923902,2.6298666306448686,12.236495280314818,0.0,0.0,90.99403916144706
18,19,1,1,123.03,128.53,5.5,40.58181818181818,5700,843,842,42.0,41.0,4788.733000000003,265.5099999999984,6.475853658536546,34.46649843697057,2460.0,153,271,314,23,29,34,18,6.0,18.0,13.0,0.0,1.0,2.0,1.0,6997.419023182918,12763.310579283729,14433.29503866015,850.7209579023792,602.0107860514393,1051.0624504122688,433.67009226504865,250.31391078875185,704.2349668373517,497.40798358863685,0.0,15.608391608392367,48.54516622847029,16.656716417909763,41.718985131458645,39.12416482429732,38.2621525837413,0.0,15.608391608392367,24.272583114235147,16.656716417909763,1.0,1.613409908506849,0.24410731407873332,0.0,12.237292786989967,5.653342024151101,8.238191172352666,69.99694144379166
19,20,1,3,125.7,130.27,4.570000000000007,48.84026258205681,6000,891,890,48.0,48.0,5107.503000000007,318.7700000000041,6.6410416666667516,33.60918530601958,2880.0,163,288,328,24,30,36,21,10.0,17.0,14.0,1.0,1.0,2.0,3.0,7414.980550975008,13421.589703158063,15001.691498778602,898.8244061782473,618.3265755251231,1109.6828255680769,492.47115424952256,417.5615277920897,658.2791238743339,568.3964601184525,48.10344827586812,16.31578947368382,58.620375155808006,58.801061984473904,41.75615277920897,38.72230140437258,40.599747151318034,48.10344827586812,16.31578947368382,29.310187577904003,19.600353994824633,1.0,1.6316063293813514,0.2302574047669223,2.0745724597371193,11.717154426356787,4.685861011284952,7.007193096666197,85.14593946488228
