,Sl.No,Lane,VehicleType,Entry,Exit,TravelTime,Speed(kmph),Time Interval,CumulativeEntryFlow,CumulativeExitFlow,EntryFlow/Interval,ExitFlow/Interval,Travel Time in one minute,Travel Time in one minute(interval wise),Avg Travel Time in one minute,SMS,Exit Flow Per Hour,Small Car,Big Car,Two Wheeler,LCV,Bus,Single Axle,Multi Axle,Small Car interval wise,Big Car interval wise,Two Wheeler interval wise,LCV interval wise,Bus interval wise,Single Axle interval wise,Multi Axle interval wise,Cumulative Speed of Small Car,Cumulative Speed of Big Car,Cumulative Speed of Two Wheeler,Cumulative Speed of LCV,Cumulative Speed of Bus,Cumulative Speed of Single Axle,Cumulative Speed of Multi Axle,Cumulative Speed of Small Car interval wise,Cumulative Speed of Big Car interval wise,Cumulative Speed of Two Wheeler interval wise,Cumulative Speed of LCV interval wise,Cumulative Speed of Bus interval wise,Cumulative Speed of Single Axle interval wise,Cumulative Speed of Multi Axle interval wise,Avg Speed of Small Car,Avg Speed of Big Car,Avg Speed of Two Wheeler,Avg Speed of LCV,Avg Speed of Bus,Avg Speed of Single Axle,Avg Speed of Multi Axle,Small Car PCU,Big Car PCU,Two Wheeler PCU,LCV PCU,Bus PCU,Single Axle PCU,Multi Axle PCU,Final PCU per 5min
627,628,2,3,4269.39,4274.06,4.670000000000073,47.794432548179124,188400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
628,629,1,2,4283.17,4287.15,3.9799999999995634,56.0804020100564,188700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
629,630,1,3,4289.44,4296.38,6.940000000000509,32.16138328530023,189000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
630,631,1,1,4291.75,4295.93,4.180000000000291,53.39712918659915,189300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
631,632,1,3,4298.38,4304.34,5.960000000000036,37.44966442952997,189600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
632,633,1,1,4309.05,4314.48,5.4299999999993815,41.10497237569529,189900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
633,634,1,2,4315.33,4321.57,6.239999999999782,35.76923076923202,190200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
634,635,2,2,4315.33,4320.74,5.4099999999998545,41.256931608134195,190500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
635,636,1,2,4317.12,4323.11,5.989999999999782,37.26210350584443,190800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
636,637,1,3,4318.85,4324.57,5.719999999999345,39.02097902098349,191100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
637,638,2,1,4319.54,4325.26,5.720000000000255,39.02097902097728,191400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
638,639,1,4,4327.49,4333.75,6.260000000000218,35.65495207667607,191700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
639,640,1,2,4333.31,4337.64,4.329999999999927,51.54734411085537,192000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
640,641,1,1,4344.87,4351.69,6.819999999999709,32.72727272727412,192300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
641,642,1,3,4351.09,4356.09,5.0,44.64,192600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
642,643,1,2,4353.97,4359.1,5.130000000000109,43.50877192982363,192900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
643,644,1,1,4358.57,4362.23,3.6599999999998545,60.983606557379474,193200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
644,645,2,2,4368.13,4373.6,5.470000000000255,40.80438756855386,193500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
645,646,1,1,4387.26,4391.77,4.510000000000218,49.4900221729466,193800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
646,647,2,3,4389.23,4394.65,5.420000000000073,41.180811808117525,194100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
647,648,1,2,4395.36,4399.87,4.510000000000218,49.4900221729466,194400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
648,649,1,5,4427.24,4441.75,14.510000000000218,15.382494831150698,194700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
649,650,1,2,4430.26,4442.92,12.659999999999854,17.630331753554703,195000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
650,651,2,1,4432.47,4436.97,4.5,49.599999999999994,195300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
651,652,1,4,4434.64,4444.86,10.219999999999345,21.839530332682415,195600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
652,653,1,2,4445.75,4452.8,7.050000000000182,31.659574468084287,195900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
653,654,1,3,4445.93,4453.76,7.829999999999927,28.505747126437043,196200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
654,655,1,3,4455.3,4461.97,6.670000000000073,33.463268365816724,196500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
655,656,1,3,4458.4,4463.07,4.670000000000073,47.794432548179124,196800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
656,657,1,3,4470.74,4475.8,5.0600000000004,44.1106719367554,197100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
657,658,1,1,4482.91,4490.03,7.119999999999891,31.34831460674205,197400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
658,659,1,2,4485.23,4489.33,4.100000000000364,54.43902439023907,197700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
659,660,1,3,4487.63,4491.97,4.3400000000001455,51.428571428569704,198000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
660,661,1,5,4491.97,4506.51,14.539999999999964,15.350756533700174,198300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
661,662,1,2,4493.26,4501.66,8.399999999999636,26.57142857142972,198600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
662,663,1,2,4497.16,4502.95,5.789999999999964,38.549222797927705,198900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
663,664,1,3,4500.36,4508.07,7.710000000000036,28.949416342412313,199200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
664,665,1,2,4501.23,4509.3,8.070000000000618,27.65799256505364,199500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
665,666,1,6,4511.07,4517.1,6.030000000000655,37.0149253731303,199800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
666,667,1,1,4517.96,4525.42,7.460000000000036,29.91957104557626,200100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
667,668,1,5,4523.23,4537.09,13.860000000000582,16.103896103895426,200400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
668,669,1,3,4524.83,4530.07,5.239999999999782,42.595419847330014,200700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
669,670,1,4,4526.23,4530.96,4.730000000000473,47.18816067652805,201000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
670,671,2,3,4527.04,4533.63,6.5900000000001455,33.86949924127391,201300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
671,672,2,1,4529.24,4535.49,6.25,35.711999999999996,201600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
672,673,1,1,4530.96,4539.26,8.300000000000182,26.89156626505965,201900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
673,674,1,3,4539.03,4547.14,8.110000000000582,27.521578298395063,202200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
674,675,2,3,4544.55,4551.16,6.609999999999673,33.767019667172626,202500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
675,676,1,4,4556.03,4565.18,9.150000000000546,24.393442622949365,202800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
676,677,1,4,4558.29,4563.08,4.789999999999964,46.597077244259225,203100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
677,678,1,1,4563.8,4568.87,5.069999999999709,44.02366863905578,203400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
678,679,1,6,4566.8,4574.51,7.710000000000036,28.949416342412313,203700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
679,680,1,3,4575.12,4579.43,4.3100000000004,51.78654292342907,204000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
680,681,1,3,4577.14,4580.83,3.6899999999996,60.487804878055336,204300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
681,682,1,3,4578.64,4582.97,4.329999999999927,51.54734411085537,204600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
682,683,1,2,4581.54,4585.84,4.300000000000182,51.90697674418385,204900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
683,684,1,3,4590.57,4594.87,4.300000000000182,51.90697674418385,205200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
684,685,1,2,4591.99,4597.03,5.039999999999964,44.285714285714604,205500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
685,686,1,3,4593.68,4597.99,4.309999999999491,51.78654292343999,205800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
686,687,1,3,4594.12,4599.0,4.880000000000109,45.73770491803176,206100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
687,688,1,2,4596.12,4602.12,6.0,37.199999999999996,206400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
688,689,1,3,4609.84,4615.58,5.739999999999782,38.88501742160427,206700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
689,690,1,3,4610.73,4620.25,9.520000000000437,23.445378151259426,207000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
690,691,1,3,4615.58,4620.76,5.180000000000291,43.08880308880067,207300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
691,692,1,2,4629.41,4635.36,5.949999999999818,37.51260504201795,207600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
692,693,1,1,4630.69,4634.4,3.7100000000000364,60.16172506738485,207900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
693,694,1,2,4637.39,4643.69,6.299999999999272,35.428571428575516,208200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
694,695,2,1,4638.75,4645.1,6.350000000000364,35.14960629921058,208500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
695,696,2,3,4640.75,4646.57,5.819999999999709,38.35051546391944,208800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
696,697,1,5,4641.58,4652.89,11.3100000000004,19.73474801060938,209100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
697,698,1,2,4645.1,4653.66,8.55999999999949,26.074766355141737,209400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
698,699,1,3,4662.387,4668.63,6.243000000000393,35.75204228735959,209700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
699,700,1,2,4676.84,4683.2,6.359999999999673,35.09433962264331,210000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
700,701,1,1,4681.1,4687.44,6.339999999999236,35.20504731861623,210300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
701,702,1,2,4682.87,4689.82,6.949999999999818,32.1151079136699,210600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
