Sl.No,Lane,VehicleType,Entry,Exit
285,1,1,1969.66,1979.8
286,1,2,1972.65,1976.12
287,1,1,1976.12,1981.55
288,1,1,1983.29,1987.07
289,1,2,1990.89,1995.64
290,2,7,2000.09,2006.88
291,1,3,2005.88,2009.25
292,1,3,2006.49,2010.43
293,1,3,2013.01,2017.43
294,1,3,2032.49,2036.51
295,1,3,2035.9,2039.94
296,1,3,2035.99,2040.63
297,1,3,2037.68,2041.9
298,1,3,2039.98,2043.67
299,2,2,2052.4,2055.9
300,1,1,2061.61,2067.71
301,2,3,2062.62,2067.02
302,1,1,2069.6,2073.13
303,1,3,2071.93,2075.22
304,1,2,2072.43,2076.67
305,1,3,2084.91,2089.38
306,2,2,2086.05,2090.49
307,1,3,2092.34,2096.29
308,1,3,2093.69,2097.22
309,1,3,2097.22,2101.38
310,1,2,2110.13,2114.85
311,1,1,2113.65,2117.63
312,1,7,2119.65,2134.45
313,1,2,2126.35,2130.18
314,1,2,2169.35,2175.11
315,1,2,2173.13,2176.33
316,1,2,2176.33,2181.03
317,1,2,2178.71,2182.55
318,2,1,2178.71,2182.95
319,1,2,2180.43,2184.07
320,1,2,2182.95,2188.38
321,1,1,2184.63,2188.87
322,2,1,2188.3,2193.2
323,1,2,2199.76,2207.72
324,1,3,2210.16,2214.17
325,1,1,2212.03,2216.43
326,2,2,2213.74,2217.59
327,1,5,2217.31,2231.71
328,1,2,2240.46,2246.05
329,1,2,2244.76,2251.57
330,1,3,2251.57,2255.03
331,2,2,2267.9,2272.02
332,1,3,2277.71,2282.18
333,1,3,2306.42,2309.92
334,2,2,2307.64,2312.84
335,1,3,2309.03,2312.43
336,1,6,2325.03,2330.5
337,2,3,2334.24,2341.82
338,1,3,2342.02,2345.25
339,1,1,2362.72,2366.11
340,1,1,2368.68,2373.21
341,1,3,2373.75,2380.62
342,1,2,2378.3,2381.8
343,1,3,2388.03,2391.75
344,1,3,2398.58,2403.49
345,1,3,2400.91,2404.54
346,1,3,2401.09,2404.54
347,2,2,2419.35,2422.9
348,2,1,2422.66,2426.57
349,2,2,2425.79,2429.97
350,1,3,2426.11,2430.4
351,2,3,2430.4,2434.99
352,1,2,2431.33,2434.99
353,1,2,2432.69,2436.59
354,1,2,2436.79,2440.78
355,2,2,2477.23,2480.85
356,1,1,2484.69,2492.53
357,1,3,2495.51,2500.33
358,1,2,2503.57,2507.71
359,1,3,2505.68,2511.12
360,1,3,2505.98,2509.73
361,1,4,2510.37,2515.61
362,1,1,2510.89,2515.76
363,1,3,2510.89,2515.09
364,1,3,2532.87,2536.67
365,1,1,2536.77,2540.39
366,1,2,2557.93,2562.11
367,1,2,2558.83,2563.22
368,1,3,2566.05,2572.49
369,1,2,2572.99,2579.95
370,1,2,2574.75,2578.97
371,2,2,2591.8,2596.31
372,1,1,2599.23,2603.86
373,1,3,2604.17,2609.22
374,1,3,2620.34,2626.11
375,2,3,2622.34,2626.11
376,2,3,2635.18,2639.15
377,1,1,2638.18,2643.51
378,1,3,2640.04,2644.1
379,1,6,2643.03,2648.5
380,1,2,2650.98,2655.34
381,1,1,2676.41,2680.45
382,1,1,2681.88,2685.88
383,2,3,2688.14,2692.79
384,1,1,2690.92,2694.69
385,2,1,2692.51,2696.98
386,1,3,2703.68,2707.24
387,1,3,2707.24,2711.66
388,2,3,2710.05,2713.92
389,1,1,2721.67,2727.07
390,1,2,2755.57,2759.72
391,2,2,2765.18,2770.64
392,2,3,2766.2,2770.64
393,2,2,2782.99,2786.46
394,1,6,2796.12,2802.68
395,1,1,2798.8,2804.64
396,1,6,2816.48,2824.56
397,1,2,2825.19,2829.67
398,1,3,2829.83,2836.26
399,1,2,2832.37,2836.06
400,1,2,2838.85,2842.2
401,1,3,2841.35,2845.54
402,1,3,2843.09,2847.78
403,1,3,2844.11,2850.09
404,2,1,2858.76,2865.3
405,1,3,2868.54,2874.86
406,2,1,2893.33,2899.48
407,1,4,2893.33,2899.06
408,1,1,2896.17,2900.87
409,1,2,2901.47,2907.36
410,1,2,2909.56,2913.89
411,1,2,2932.71,2939.13
412,1,3,2935,2939.7
413,1,6,2968,2981.2
414,1,3,2945.44,2950.52
415,1,2,2946.56,2949.83
416,2,2,2948.29,2953.96
417,1,1,2962.64,2966.04
418,1,1,2971.98,2975.88
419,1,2,2973.98,2978.23
420,1,3,2974.87,2979.64
421,1,2,2976.87,2980.49
422,1,2,2979.96,2985.96
423,2,2,3011.65,3017.65
424,1,3,3022.83,3027.43
425,2,3,3023.14,3027.13
426,1,6,3046.65,3055.9
427,2,3,3050.79,3054.5
428,2,3,3052.34,3055.97
429,1,1,3054.97,3058.63
430,1,2,3057.69,3062.03
431,1,1,3061.36,3067.88
432,2,2,3062.54,3066.15
433,1,2,3073.43,3077.95
434,2,3,3084.23,3088.53
435,2,2,3090.76,3094.69
436,1,6,3104.06,3110.16
437,1,7,3104.06,3118.96
438,1,3,3106.91,3111.46
439,1,3,3109.52,3120.63
440,2,3,3110.46,3115.15
441,2,2,3110.92,3116.49
442,2,5,3112.12,3117.93
443,1,2,3121.29,3127.37
444,1,3,3123.25,3126.65
445,1,3,3126.65,3131.99
446,1,1,3128.19,3133.57
447,1,2,3137.81,3142.4
448,1,3,3145.97,3150.16
449,1,3,3147.97,3154.1
450,1,3,3148.63,3152.62
451,1,3,3150.16,3154.16
452,2,7,3157.36,3169.74
453,2,1,3183.34,3186.65
454,2,7,3187.76,3200.08
455,1,6,3207.25,3220.17
456,1,2,3211.15,3223.03
457,1,3,3213.85,3221.67
458,1,3,3214.3,3220.17
459,1,2,3216.86,3225.07
460,2,4,3220.17,3224.47
461,1,6,3222.93,3227.26
462,1,1,3241.58,3246.54
463,1,3,3244.58,3249.77
464,1,1,3247.47,3251.91
465,2,2,3250.5,3255.79
466,2,3,3251.91,3256.46
467,1,1,3259.47,3262.93
468,1,3,3284.54,3290.2
469,2,2,3291.04,3296.04
470,1,3,3300.87,3304.33
471,1,3,3303.05,3306.56
472,2,2,3321.17,3325.05
473,1,3,3323.11,3329.52
474,2,2,3323.22,3327.55
475,1,4,3327.43,3332.49
476,1,3,3329.02,3334.79
477,1,3,3343.21,3346.46
478,1,2,3344.78,3348.52
479,1,6,3358.82,3363.53
480,1,2,3367.97,3372.71
481,1,1,3372.79,3377.08
482,1,3,3384.01,3388.2
483,1,3,3386.24,3389.99
484,2,2,3391.5,3395.3
485,1,3,3391.95,3396.03
486,1,3,3392.67,3397.22
487,1,3,3416.12,3420.18
488,1,1,3417.81,3421.94
489,2,2,3421.3,3424.81
490,2,2,3426.25,3430.14
491,2,2,3427.38,3430.98
492,1,6,3429.17,3433.36
493,1,1,3440.68,3444.96
494,1,3,3444.06,3449.28
495,2,2,3446.7,3451.03
496,2,2,3458.79,3462.19
497,1,2,3458.79,3462.9
498,1,3,3462.9,3466.55
499,1,5,3465.27,3477.96
500,1,6,3466.78,3472.15
501,1,2,3469.74,3474.68
502,1,2,3471.31,3475.93
503,1,3,3472.84,3477.13
504,1,1,3473.68,3478.29
505,1,2,3483.35,3487.05
506,1,1,3498.56,3501.96
507,1,3,3520.44,3523.78
508,1,1,3521.18,3525.53
509,1,3,3533.83,3537.24
510,1,3,3535.2,3539.25
511,1,2,3547.99,3551.65
512,1,3,3551.06,3555.74
513,1,2,3555.43,3558.91
514,1,3,3563.49,3566.73
515,2,3,3566.13,3573.68
516,1,5,3606.59,3617.39
517,1,3,3610.13,3615.76
518,1,2,3610.97,3617.76
519,1,2,3612.13,3620.41
520,1,3,3617.76,3623.69
521,1,2,3625.73,3629.82
522,2,3,3626.86,3633.68
523,1,1,3628.74,3635.06
524,2,6,3649.43,3656.41
525,1,3,3675.7,3680.45
526,1,3,3678.69,3687.58
527,1,1,3680.72,3686.34
528,2,2,3681.07,3686.75
529,1,4,3683.97,3688.77
530,2,5,3687.23,3691.65
531,1,2,3690.82,3695.69
532,1,2,3694.49,3699.08
533,2,3,3695.93,3702.06
534,2,3,3703.83,3711.03
535,1,2,3711.67,3715.97
536,1,2,3716.72,3720.48
537,1,3,3722.91,3727.67
538,1,3,3725.24,3730.97
539,1,2,3726.51,3730.31
540,2,3,3740.22,3744.94
541,1,6,3743.23,3751.89
542,1,1,3745.63,3756.67
543,1,3,3762.09,3766.11
544,1,3,3772.83,3777.83
545,1,5,3774.17,3784.99
546,2,2,3778.29,3783.5
547,2,2,3781.63,3787.06
548,2,1,3783.5,3789.34
549,2,2,3784.67,3790.94
550,1,2,3789.34,3795.24
551,1,2,3792.64,3798.07
552,1,3,3839.05,3846.28
553,1,3,3840.2,3845.23
554,1,2,3843.79,3847.44
555,1,3,3848.1,3855.27
556,2,2,3851.61,3854.99
557,1,2,3852.71,3858.5
558,2,3,3855.27,3859.64
559,1,2,3859.64,3864.59
560,2,6,3860.05,3867.06
561,1,2,3868.68,3873.81
562,1,5,3887.97,3899.22
563,1,3,3892.9,3900.54
564,1,2,3895.16,3898.67
565,1,5,3866.13,3878.36
566,1,4,3872.36,3882.45
567,2,2,3879.75,3885.24
568,2,1,3881.58,3886.66
569,1,1,3883.24,3889.82
570,1,1,3894.24,3905.42
571,2,2,3901.19,3906.11
572,2,3,3918.71,3925.11
573,1,3,3927.36,3932.4
574,1,2,3932.99,3938.32
575,1,1,3935.78,3941.4
576,1,3,3939.51,3946.43
577,2,1,4015.14,4022.82
578,1,4,3964.5,3972.21
579,1,2,3966.56,3971.02
580,1,4,3968.51,3974.42
581,1,2,3970.71,3974.42
582,1,3,3980.07,3986.25
583,1,5,3986.93,4000.53
584,1,2,3988.13,3995.04
585,1,5,4074.64,4085.61
586,1,2,4076.94,4083.02
587,1,1,4078.49,4086.79
588,2,1,4021.89,4029.75
589,2,3,4029.23,4036.68
590,1,1,4054.33,4060
591,1,2,4076.49,4086.02
592,1,2,4078.94,4085.02
593,1,2,4081.92,4088.46
594,1,3,4093.12,4100.01
595,1,4,4094.69,4101.44
596,1,2,4097.91,4104.31
597,1,3,4102.97,4108.58
598,1,3,4113.91,4118.37
599,1,3,4115.67,4120.37
600,1,5,4120.63,4133.12
601,2,7,4122.12,4130.27
602,2,1,4126.74,4135.14
603,1,1,4127.88,4135.9
604,1,1,4133.12,4140.07
605,1,2,4136.43,4141.75
606,1,3,4137.07,4142.86
607,1,1,4147.95,4155.87
608,1,3,4164.59,4169.98
609,1,1,4165.05,4169.3
610,1,3,4169.3,4174.54
611,2,2,4173.24,4178.56
612,1,3,4202.77,4208.63
613,1,2,4215.32,4221.53
614,1,2,4219.7,4223.8
615,2,2,4221.22,4226.14
616,2,1,4223.27,4227.92
617,2,1,4225.46,4229.44
618,2,2,4227.17,4231.39
619,2,3,4229.44,4234.62
620,1,1,4231.39,4236.81
621,1,3,4238.49,4242.64
622,1,3,4242.54,4246.78
623,1,2,4244.13,4249.15
624,1,1,4254.64,4263.72
625,1,1,4259.25,4263.99
626,1,3,4263.99,4272.76
627,1,3,4263.99,4272.76
628,2,3,4269.39,4274.06
629,1,2,4283.17,4287.15
630,1,3,4289.44,4296.38
631,1,1,4291.75,4295.93
632,1,3,4298.38,4304.34
633,1,1,4309.05,4314.48
634,1,2,4315.33,4321.57
635,2,2,4315.33,4320.74
636,1,2,4317.12,4323.11
637,1,3,4318.85,4324.57
638,2,1,4319.54,4325.26
639,1,4,4327.49,4333.75
640,1,2,4333.31,4337.64
641,1,1,4344.87,4351.69
642,1,3,4351.09,4356.09
643,1,2,4353.97,4359.1
644,1,1,4358.57,4362.23
645,2,2,4368.13,4373.6
646,1,1,4387.26,4391.77
647,2,3,4389.23,4394.65
648,1,2,4395.36,4399.87
649,1,5,4427.24,4441.75
650,1,2,4430.26,4442.92
651,2,1,4432.47,4436.97
652,1,4,4434.64,4444.86
653,1,2,4445.75,4452.8
654,1,3,4445.93,4453.76
655,1,3,4455.3,4461.97
656,1,3,4458.4,4463.07
657,1,3,4470.74,4475.8
658,1,1,4482.91,4490.03
659,1,2,4485.23,4489.33
660,1,3,4487.63,4491.97
661,1,5,4491.97,4506.51
662,1,2,4493.26,4501.66
663,1,2,4497.16,4502.95
664,1,3,4500.36,4508.07
665,1,2,4501.23,4509.3
666,1,6,4511.07,4517.1
667,1,1,4517.96,4525.42
668,1,5,4523.23,4537.09
669,1,3,4524.83,4530.07
670,1,4,4526.23,4530.96
671,2,3,4527.04,4533.63
672,2,1,4529.24,4535.49
673,1,1,4530.96,4539.26
674,1,3,4539.03,4547.14
675,2,3,4544.55,4551.16
676,1,4,4556.03,4565.18
677,1,4,4558.29,4563.08
678,1,1,4563.8,4568.87
679,1,6,4566.8,4574.51
680,1,3,4575.12,4579.43
681,1,3,4577.14,4580.83
682,1,3,4578.64,4582.97
683,1,2,4581.54,4585.84
684,1,3,4590.57,4594.87
685,1,2,4591.99,4597.03
686,1,3,4593.68,4597.99
687,1,3,4594.12,4599
688,1,2,4596.12,4602.12
689,1,3,4609.84,4615.58
690,1,3,4610.73,4620.25
691,1,3,4615.58,4620.76
692,1,2,4629.41,4635.36
693,1,1,4630.69,4634.4
694,1,2,4637.39,4643.69
695,2,1,4638.75,4645.1
696,2,3,4640.75,4646.57
697,1,5,4641.58,4652.89
698,1,2,4645.1,4653.66
699,1,3,4662.387,4668.63
700,1,2,4676.84,4683.2
701,1,1,4681.1,4687.44
702,1,2,4682.87,4689.82
703,1,2,4696.32,4704.09
704,1,1,4699.47,4707.87
705,2,2,4709.96,4715.29
706,2,3,4709.81,4716.51
707,2,3,4712.44,4718.63
708,1,1,4713.67,4719.41
709,1,5,4730.56,4742.43
710,1,2,4734.73,4739.66
711,1,1,4735.92,4744.76
712,1,2,4751.56,4759.11
713,1,6,4763.59,4770.59
714,1,3,4768.27,4774.71
715,1,1,4771.71,4778.35
716,1,3,4772.49,4775.8
717,1,2,4776.5,4782.95
718,1,3,4798.62,4804.37
719,1,2,4800.99,4805.48
720,1,3,4808.34,4817.06
721,1,3,4812.85,4817.06
722,1,2,4816.42,4823.48
723,1,4,4818.46,4826.88
724,1,2,4823.48,4830.99
725,1,1,4834.79,4839.68
726,1,2,4846.5,4850.62
727,1,3,4859.27,4865.81
728,1,3,4871.12,4876.56
729,1,3,4878.49,4885.18
730,1,5,4899.33,4906.79
731,2,3,4911.37,4918.96
732,1,3,4911.37,4918.5
733,2,3,4913.93,4921.75
734,2,2,4930.69,4934.87
735,1,2,4930.69,4937.68
736,1,1,4932.77,4939.09
737,1,2,4939.34,4945.06
738,1,1,4949.46,4957.71
739,1,2,4963.8,4972.49
740,2,2,4964.43,4967.93
741,2,1,4986.79,4992.07
742,2,3,4989.77,4994.76
743,1,3,4991.15,4994.76
744,1,2,4995.22,5000.87
745,1,2,5019.63,5024.47
746,1,2,5030.98,5034.94
747,1,2,5041.21,5046.88
748,1,3,5051.55,5057.81
749,1,2,5076.74,5082.53
750,1,1,5085.79,5092.87
751,1,5,5094.97,5109.67
752,2,3,5095.37,5101.6
753,1,3,5098.48,5104.21
754,1,2,5101.6,5106.05
755,1,2,5105.36,5114.73
756,1,2,5111.58,5117.55
757,2,1,5121.25,5125.25
758,1,3,5125.22,5129.77
759,2,3,5126.61,5132.08
760,2,2,5128.02,5133.02
761,1,3,5131.38,5135.38
762,1,2,5171.77,5179.31
763,1,1,5174.37,5181.12
764,1,2,5176.84,5183.2
765,2,2,5180.53,5185.42
766,1,3,5183.38,5191.79
767,2,1,5183.9,5189.12
768,1,5,5204.69,5219.49
769,1,1,5217.41,5221.69
770,1,3,5222.38,5226.4
771,2,2,5231.11,5234.94
772,1,2,5238.46,5243.47
773,1,2,5252.01,5257.89
774,1,3,5253.82,5259.58
775,1,5,5256.89,5271.39
776,1,3,5269.69,5275.74
777,1,3,5269.99,5277.11
778,1,2,5274.89,5280.72
779,1,3,5280.14,5285.53
780,2,2,5286.5,5292.08
781,1,3,5293.09,5302.46
782,1,3,5295.76,5303.46
783,1,3,5295.99,5306.95
784,1,4,5306.84,5312.44
785,1,1,5309.37,5313.41
786,1,3,5313.84,5318.27
787,1,3,5327.78,5332.95
788,1,3,5328.39,5332.71
789,1,1,5329.98,5339.23
790,1,2,5331.74,5338.81
791,1,3,5345.77,5353.15
792,1,3,5353.15,5358.9
793,1,3,5354.25,5358.6
794,1,3,5362.38,5366.28
795,1,5,5362.58,5373.75
796,1,2,5363.78,5370.76
797,1,2,5363.98,5376.58
798,1,3,5368.14,5372.36
799,1,2,5373.5,5378.47
800,1,3,5375.43,5379.07
801,1,3,5385.9,5391.27
802,1,2,5403.19,5408.87
803,1,3,5404.59,5411.17
804,2,3,5410.62,5418.08
805,2,1,5412.19,5419.31
806,2,7,5416.4,5429.8
807,1,2,5419.31,5425.11
808,1,5,5435.1,5449.4
809,2,3,5460.03,5464.77
810,2,2,5460.73,5466.63
811,1,6,5462.33,5473.55
812,1,2,5474.7,5481.87
813,1,3,5483.86,5489.06
814,1,6,5484.27,5492.06
815,1,2,5496.86,5505.83
816,1,2,5497.96,5506.93
817,1,2,5501.01,5508.53
818,1,2,5505.01,5510.19
819,1,2,5517.99,5523.61
820,2,1,5521.39,5527.29
821,1,3,5526.23,5532.07
822,2,3,5528.35,5533.79
823,1,3,5548.3,5553.98
824,2,2,5558.53,5563.78
825,2,3,5580.22,5586.94
826,2,1,5581.89,5586.94
827,2,3,5582.45,5587.94
828,2,3,5583.09,5588.53
829,2,1,5584.89,5589.39
830,2,2,5585.27,5590.59
831,1,2,5590.31,5595.19
832,1,2,5614.59,5618.12
833,1,2,5615.01,5622.31
834,2,2,5619.58,5625.5
835,1,2,5629.12,5633.72
836,1,3,5637.17,5645.43
837,1,1,5637.65,5643.28
838,1,3,5659.98,5664.78
839,1,3,5661.28,5667.38
840,2,2,5664.8,5669.69
841,2,1,5674.73,5679.41
842,1,2,5674.93,5680.6
843,1,3,5697.08,5701.51
844,1,2,5711.68,5717.54
845,1,3,5715.27,5721.92
846,1,1,5718.36,5723.73
847,1,3,5719.41,5724.81
848,1,3,5720.5,5726.02
849,1,6,5722.06,5728.72
850,2,3,5723.16,5729.44
851,1,5,5723.16,5736.84
852,1,3,5726.02,5730
853,1,2,5740.18,5751.64
854,1,3,5741.45,5745.59
855,1,3,5743.45,5749.88
856,1,2,5758.34,5764.47
857,2,7,5759.96,5770.12
858,1,3,5809.56,5815.12
859,1,2,5811.8,5822.59
860,2,7,5833.07,5843.38
861,2,2,5833.24,5836.89
862,2,2,5839.7,5843.87
863,2,1,5839.9,5846.32
864,1,3,5845.49,5850.67
865,1,2,5848.12,5853.02
866,1,2,5850.21,5855
867,1,1,5860.84,5867.24
868,1,2,5864.88,5871.45
869,2,2,5869.38,5874.14
870,2,6,5871.92,5880.81
871,1,3,5877.37,5882.17
872,2,1,5901.77,5905.37
873,2,2,5915.37,5919.58
874,2,1,5921.44,5925.97
875,2,1,5924.04,5929.54
876,1,1,5937.58,5941.62
877,1,2,5939.32,5944.52
878,1,1,5939.62,5945.82
879,1,1,5942.98,5947.92
880,1,3,5949.75,5956.78
881,1,2,5956.76,5961.37
882,1,2,5959.99,5969.38
883,2,2,5961.36,5967.45
884,1,2,5964.56,5972.58
885,1,1,5970.25,5982.6
886,1,3,5970.25,5978.43
887,2,4,5971.34,5975.98
888,1,7,5978.61,5993.31
889,1,3,5980.88,5987.51
890,1,2,5981.7,5991.27
891,1,3,5998.5,6003.51
892,1,1,6001.47,6007.24
893,2,2,6008.76,6014.5
894,1,1,6016.07,6021.24
895,1,1,6033.07,6038.9
896,1,1,6034.29,6039.23
897,2,2,6039.3,6043.59
898,2,1,6042.16,6046.12
899,1,1,6042.59,6047.73
900,2,2,6043.59,6049.53
901,2,2,6053.24,6059.32
902,1,2,6053.24,6058.52
903,1,1,6056.43,6062.2
904,1,2,6069.42,6076.2
905,2,3,6069.42,6076.57
906,2,3,6083.04,6089.12
907,1,1,6094.49,6098.71
908,1,2,6101.45,6107.77
909,2,3,6105.59,6111.22
910,1,3,6112.23,6118.64
911,1,3,6119.38,6126.85
912,1,6,6122.2,6131.13
913,2,2,6124.84,6128.48
914,1,3,6136.97,6143.42
915,1,1,6152.19,6158.36
916,1,2,6165.38,6172.05
917,1,2,6175.16,6179.36
918,1,2,6180.23,6184.36
919,1,2,6187.72,6192.76
920,1,1,6191.25,6195.82
921,1,3,6201.33,6205.32
922,1,2,6215.56,6221.73
923,1,2,6219.85,6225.52
924,1,2,6240.21,6244.71
925,1,3,6240.45,6246.1
926,1,3,6243.61,6247.78
927,1,2,6249.75,6255.68
928,1,3,6251.77,6256.71
929,2,3,6252.54,6258.23
930,1,3,6254.44,6261.84
931,1,1,6259.75,6264.78
932,1,2,6261.28,6266.31
933,1,3,6270.33,6274.73
934,1,3,6278.57,6284.36
935,1,3,6277.43,6285.32
936,1,2,6279.94,6283.93
937,1,2,6297.21,6301.09
938,1,1,6298.16,6302.77
939,1,1,6312.84,6317.16
940,2,2,6318.57,6323.68
941,1,3,6320.01,6325.61
942,2,3,6323.05,6327.78
943,1,3,6328.1,6333.08
944,1,2,6342.45,6347.33
945,1,1,6348.04,6355.1
946,1,2,6350.93,6356.74
947,1,2,6353.47,6358.36
948,1,2,6355.22,6359.77
949,1,2,6357.81,6362.63
950,1,3,6426.3,6431.59
951,2,1,6446.21,6450.61
952,1,2,6448.68,6454.52
953,1,2,6458.45,6462.7
954,2,3,6461.56,6467.58
955,2,3,6474.59,6480.62
956,1,1,6475.23,6482.52
957,1,3,6489.69,6494.47
958,2,7,6489.92,6501.02
959,1,1,6493.37,6502.02
960,2,5,6493.57,6502.92
961,1,1,6497.37,6502.16
962,1,2,6499.45,6504.34
963,1,2,6506.1,6510.71
964,1,2,6521.38,6526.37
965,1,3,6546.68,6550.43
966,2,1,6553.86,6559
967,1,3,6562.12,6567.3
968,1,3,6563.87,6569.46
969,2,1,6583.8,6587.81
970,1,3,6584.24,6592.43
971,2,2,6586.22,6589.85
972,1,2,6589.97,6595.02
973,1,3,6591.14,6594.88
974,1,3,6605.28,6609.46
975,1,1,6606.25,6611.31
976,1,6,6619.53,6626.12
977,1,2,6628.82,6635.35
978,1,1,6633.32,6639.83
979,1,3,6642.22,6646.88
980,1,3,6646.93,6651.14
981,1,3,6648.17,6652.85
982,1,3,6653.42,6657.97
983,1,3,6654.33,6658.8
984,2,2,6654.33,6660.26
985,1,3,6656.45,6660.75
986,1,3,6678.15,6683.42
987,1,1,6679.1,6684.58
988,2,2,6684.04,6688.31
989,2,2,6689.05,6692.91
990,2,2,6690.2,6694.28
991,1,6,6691.2,6696.26
992,1,2,6701.75,6707.73
993,1,3,6704.07,6710.19
994,1,3,6704.97,6711.93
995,2,2,6709.23,6713.65
996,1,2,6718.71,6725.77
997,2,2,6721.56,6726.67
998,1,3,6722.62,6728.18
999,1,5,6722.62,6736.62
1000,1,6,6728.18,6735.1
1001,1,2,6731.13,6737.2
1002,1,1,6734.53,6738.84
1003,1,3,6735.5,6740.02
1004,1,1,6744.58,6749.72
1005,1,3,6748.13,6753.88
1006,1,2,6748.89,6754.61
1007,1,3,6751.67,6755.54
1008,1,3,6751.97,6756.36
1009,1,1,6759.47,6764.29
1010,1,3,6781.29,6786.76
1011,1,1,6781.95,6788.57
1012,1,3,6794.05,6800.31
1013,1,3,6795.74,6802.34
1014,1,2,6809.16,6814.52
1015,1,3,6812.39,6818.29
1016,1,3,6824.49,6829.57
1017,2,3,6828.67,6832.79
1018,2,2,6843.79,6847.64
1019,1,3,6847.21,6853.25
1020,2,3,6850.03,6856.47
1021,1,2,6854.87,6859.12
1022,1,3,6857.13,6863.65
1023,1,3,6868.53,6873.09
1024,2,2,6876.73,6886.04
1025,1,3,6889.81,6895.38
1026,1,3,6890.89,6896.94
1027,1,1,6892.18,6897.34
1028,2,2,6894.2,6899.1
1029,2,2,6912.06,6916.43
1030,1,1,6918.4,6924.3
1031,1,2,6919.91,6925.11
1032,2,3,6921.36,6925.39
1033,1,3,6922.76,6927.32
1034,2,3,6930.25,6936.16
1035,1,2,6950.37,6955.09
1036,1,3,6951.67,6955.39
1037,1,2,6954.1,6960.36
1038,1,5,6956.94,6966.9
1039,1,2,6974.62,6979.54
1040,2,2,6977.08,6981.28
1041,1,3,6979.97,6985.91
1042,1,2,6984.31,6991.53
1043,1,2,6986.81,6993.03
1044,1,2,6988.29,6991.53
1045,1,3,6997.73,7003.53
1046,1,3,6998.53,7002.76
1047,2,2,6998.04,7002.76
1048,1,3,7004.46,7013.17
1049,1,3,7008.36,7014.28
1050,1,2,7012.64,7018.46
1051,1,2,7015.13,7019.21
1052,1,1,7016.25,7021.76
1053,1,1,7021.76,7032.62
1054,1,1,7026.47,7035.38
1055,1,2,7030.2,7036.92
1056,1,1,7042.29,7049.99
1057,1,2,7044.96,7048.66
1058,1,3,7045.9,7051.36
1059,1,2,7047.28,7052.61
1060,2,2,7054.08,7059
1061,2,2,7054.85,7059.92
1062,2,6,7079,7084
1063,1,3,7083.02,7091.97
1064,1,2,7086.72,7092.03
1065,1,2,7094.47,7100.12
1066,1,2,7096.49,7102.07
1067,1,1,7098.77,7104.73
1068,1,3,7104.32,7109.57
1069,1,2,7114.27,7119.8
1070,1,2,7116.41,7121.6
1071,1,5,7117.78,7131.23
1072,1,2,7152.14,7158.97
1073,1,2,7154.46,7161.01
1074,2,3,7154.86,7162.87
1075,1,2,7157.11,7162.34
1076,2,3,7166.59,7176.87
1077,1,1,7172.64,7177.9
1078,1,2,7178.8,7184.72
1079,1,1,7180.35,7186.39
1080,1,1,7182.1,7187.48
1081,1,2,7186.59,7192.27
1082,1,3,7188.05,7195.05
1083,1,3,7189.5,7195.35
1084,2,2,7190.56,7195.77
1085,2,4,7192.66,7199.45
1086,1,3,7194.5,7199.45
1087,2,3,7195.7,7202.48
1088,1,7,7202.48,7207.68
1089,1,1,7207.68,7212.2
1090,1,1,7214.32,7219.4
1091,1,1,7217.72,7223.08
1092,1,2,7222.76,7226.76
1093,1,2,7228.92,7232.96
1094,1,6,7229.2,7235.8
1095,1,1,7233.04,7240.04
1096,2,2,7235.2,7241.6
1097,2,2,7237,7244.32
1098,2,1,7238.56,7244.88
1099,2,4,7239.6,7246.52
1100,1,1,7233,7240.12
1101,1,3,7236.8,7243.92
1102,1,1,7237.52,7244.64
1103,1,1,7239.56,7246.32
1104,2,3,7242.24,7248
1105,2,3,7243.8,7250.16
1106,2,3,7245.16,7253.04
1107,2,3,7248.76,7255.44
1108,1,6,7246.8,7251.88
1109,1,2,7253.6,7259.56
1110,2,1,7261.28,7266.48
1111,1,1,7259.4,7267.08
1112,1,1,7280.88,7286
1113,1,1,7283.64,7288.68
1114,1,1,7286.96,7291.6
1115,1,1,7297.2,7301.44
1116,1,1,7297.32,7301.44
1117,1,4,7298.28,7304.88
1118,1,3,7299.6,7305.56
1119,1,1,7313.68,7320.44
1120,1,3,7315.32,7322
1121,1,1,7314.48,7323.56
1122,1,3,7316.56,7325.96
1123,1,1,7327.8,7332.44
1124,1,2,7329.52,7335.52
1125,2,1,7328,7332.96
1126,1,1,7340.04,7344.24
1127,1,3,7349.92,7355.28
1128,1,3,7352.88,7360.56
1129,1,1,7374,7379.28
1130,1,3,7384.28,7390.96
1131,1,3,7389.04,7394.72
1132,1,2,7394.28,7399.76
1133,1,1,7450.36,7454.76
1134,1,2,7463.32,7469.64
1135,1,1,7466.56,7472.44
1136,1,1,7468.2,7472.44
1137,1,3,7467.12,7471.52
1138,1,1,7468.64,7473.76
1139,1,1,7470.12,7475.12
1140,2,1,7471.12,7478.36
1141,1,1,7473.72,7480.56
1142,2,1,7473.84,7480.56
1143,2,6,7475.96,7483.08
1144,2,3,7483.2,7489.48
1145,1,1,7481.6,7487.88
1146,1,3,7484.56,7490.52
1147,1,1,7509.68,7517.08
1148,2,2,7511.16,7516.2
1149,1,3,7515.84,7524
1150,2,3,7533.2,7539.16
